Path,Filename,Language,Audience,Scope,Feature,Quality,Duplicate,Needs_Update,Priority
examples/hello.lua,hello.lua,Lua,Script Users,Getting Started,Basic,Good,No,No,High
examples/llmspell-demo.lua,llmspell-demo.lua,Lua,Script Users,Feature Demo,Multiple,Good,No,Minor,Medium
examples/lua/agents/agent-simple.lua,agent-simple.lua,Lua,Script Users,Getting Started,Agents,Good,No,No,High
examples/lua/agents/agent-simple-demo.lua,agent-simple-demo.lua,Lua,Script Users,Feature Demo,Agents,Good,agent-simple,No,Medium
examples/lua/agents/agent-api-comprehensive.lua,agent-api-comprehensive.lua,Lua,Script Users,Feature Demo,Agents API,Good,No,No,Medium
examples/lua/agents/agent-async-example.lua,agent-async-example.lua,Lua,Script Users,Feature Demo,Async Agents,Fair,No,Yes,Low
examples/lua/agents/agent-composition.lua,agent-composition.lua,Lua,Script Users,Cookbook,Agent Composition,Good,No,No,Medium
examples/lua/agents/agent-coordinator.lua,agent-coordinator.lua,Lua,Script Users,Cookbook,Multi-Agent,Good,No,No,Medium
examples/lua/agents/agent-monitor.lua,agent-monitor.lua,Lua,Script Users,Cookbook,Monitoring,Fair,No,Yes,Low
examples/lua/agents/agent-orchestrator.lua,agent-orchestrator.lua,Lua,Script Users,Cookbook,Orchestration,Good,No,No,Medium
examples/lua/tools/tools-showcase.lua,tools-showcase.lua,Lua,Script Users,Feature Demo,Tool Showcase,Good,No,No,High
examples/lua/tools/tools-filesystem.lua,tools-filesystem.lua,Lua,Script Users,Feature Demo,File Tools,Good,No,No,Medium
examples/lua/workflows/workflow-simple.lua,workflow-simple.lua,Lua,Script Users,Getting Started,Basic Workflow,Good,No,No,High
examples/lua/workflows/workflow-sequential.lua,workflow-sequential.lua,Lua,Script Users,Feature Demo,Sequential,Good,No,No,Medium
examples/lua/workflows/workflow-parallel.lua,workflow-parallel.lua,Lua,Script Users,Feature Demo,Parallel,Good,No,No,Medium
examples/lua/workflows/workflow-conditional.lua,workflow-conditional.lua,Lua,Script Users,Feature Demo,Conditional,Good,No,No,Medium
examples/lua/events/event-basic.lua,event-basic.lua,Lua,Script Users,Getting Started,Events,Good,No,No,High
examples/lua/hooks/hook-basic.lua,hook-basic.lua,Lua,Script Users,Getting Started,Hooks,Good,No,No,High
examples/lua/sessions/session-basic.lua,session-basic.lua,Lua,Script Users,Getting Started,Sessions,Good,No,No,High
examples/lua/state/state-basic.lua,state-basic.lua,Lua,Script Users,Getting Started,State,Good,No,No,High
llmspell-agents/examples/basic_agent.rs,basic_agent.rs,Rust,Rust Developers,Getting Started,Basic Agent,Good,No,No,High
llmspell-bridge/examples/lua_script.rs,lua_script.rs,Rust,Rust Developers,Getting Started,Script Execution,Good,No,No,High
llmspell-events/examples/basic_pubsub.rs,basic_pubsub.rs,Rust,Rust Developers,Getting Started,Pub/Sub,Good,No,No,High
llmspell-hooks/examples/basic_hook.rs,basic_hook.rs,Rust,Rust Developers,Getting Started,Basic Hook,Good,No,No,High
llmspell-workflows/examples/sequential_workflow.rs,sequential_workflow.rs,Rust,Rust Developers,Getting Started,Sequential,Good,No,No,High
llmspell-tools/examples/calculator_tool.rs,calculator_tool.rs,Rust,Rust Developers,Getting Started,Basic Tool,Good,No,No,High
llmspell-storage/examples/memory_backend.rs,memory_backend.rs,Rust,Rust Developers,Getting Started,Memory Storage,Good,No,No,High
llmspell-state-persistence/examples/basic_persistence.rs,basic_persistence.rs,Rust,Rust Developers,Getting Started,Persistence,Good,No,No,High
